Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARGENTINA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,Total,Thousands,45.0,123.0,162.0,206.0,262.0,318.0,382.0,510.0,558.0,575.0,684.0,758.0,963.0,1084.0,1203.8000000000002,1192.1000000000001,1259.6999999999998,1494.9,1651.8,1894.4,375.20000000000005,870.4,1665.7
ARMENIA,Africa,Thousands,,,,,,,,,1.0,,,1.0,0.7,1.0,0.9,1.0,0.4,0.7,1.6,1.1,0.2,0.5,0.8
ARMENIA,Americas,Thousands,8.0,41.0,46.0,58.0,75.0,86.0,98.0,127.0,135.0,135.0,136.0,145.0,128.9,147.0,156.9,89.4,90.4,102.4,101.6,76.0,9.4,34.5,58.1
ARMENIA,East Asia and the Pacific,Thousands,1.0,3.0,3.0,6.0,9.0,14.0,16.0,23.0,24.0,25.0,26.0,29.0,29.8,31.0,27.9,10.2,19.3,38.6,50.1,63.9,8.6,6.3,22.6
ARMENIA,Europe,Thousands,25.0,48.0,80.0,99.0,127.0,160.0,203.0,278.0,308.0,311.0,351.0,375.0,605.7,702.0,811.9,922.4,937.7,1095.7,1269.4,1516.3,325.1,702.1,1424.2
ARMENIA,Middle East,Thousands,2.0,13.0,14.0,19.0,23.0,28.0,33.0,41.0,44.0,45.0,46.0,49.0,49.7,52.0,55.8,20.9,18.8,30.0,37.0,37.4,4.1,16.2,25.3
ARMENIA,South Asia,Thousands,9.0,18.0,19.0,24.0,28.0,30.0,32.0,41.0,46.0,59.0,125.0,159.0,148.2,151.0,150.4,148.2,193.1,227.5,192.1,199.7,27.8,110.8,134.7
ARMENIA,Other not classified,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARMENIA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Total,Thousands,721.0,691.0,642.0,642.0,727.0,732.0,694.0,771.0,827.0,813.0,824.0,869.0,904.0,979.0,1071.8999999999999,1224.8,1101.8000000000002,1070.3,1081.7,1118.7,368.3,806.5,1100.8
ARUBA,Africa,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Americas,Thousands,670.0,643.0,595.0,585.0,665.0,666.0,630.0,703.0,749.0,735.0,746.0,785.0,820.0,898.0,987.6,1133.0,1001.7,970.2,983.0,1020.4,337.5,741.4,1004.6
ARUBA,East Asia and the Pacific,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Europe,Thousands,47.0,45.0,44.0,55.0,60.0,63.0,62.0,67.0,74.0,75.0,76.0,81.0,80.0,77.0,80.2,80.6,86.7,90.6,89.7,93.3,28.2,53.7,88.1
ARUBA,Middle East,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,South Asia,Thousands,,,,,,,,,,,,,,,,,,,,,,,
ARUBA,Other not classified,Thousands,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,4.1,11.2,13.4,9.5,9.0,5.0,2.6,11.4,8.1
ARUBA,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
