Country,Indicators,,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BELGIUM,Tourism expenditure in the country,,,US$ Millions,,8304.0,7598.0,8848.0,10089.0,10881.0,11625.0,12369.0,,12718.0,12680.0,14114.0,13704.0,14534.0,15249.0,8975.0,8784.0,9636.0,10319.0,10516.0,7227.0,7336.0,8737.38
BELGIUM,Travel,,,US$ Millions,6592.0,6887.0,6935.0,8193.0,9208.0,9845.0,10311.0,11015.0,12020.0,11461.0,11393.0,12750.0,12498.0,13384.0,13918.0,7865.0,7648.0,8396.0,8880.0,8829.0,6402.0,6289.0,6939.48
BELGIUM,Passenger transport,,,US$ Millions,,1417.0,663.0,655.0,881.0,1036.0,1314.0,1354.0,,1257.0,1287.0,1364.0,1206.0,1150.0,1331.0,1110.0,1136.0,1240.0,1439.0,1687.0,825.0,1047.0,1797.9
BELIZE,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,599.1
BELIZE,Travel,,,US$ Millions,111.0,111.0,121.0,150.0,168.0,214.0,260.0,289.0,278.0,256.0,264.0,248.0,298.0,351.0,380.0,372.0,391.0,427.0,479.0,527.0,247.0,374.0,598.9
BELIZE,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,0.2
BENIN,Tourism expenditure in the country,,,US$ Millions,77.4,85.5,94.5,107.9,120.9,107.7,121.6,206.3,236.4,131.4,149.4,201.0,174.0,193.0,153.0,148.0,129.0,160.0,175.0,240.86,202.6,246.60000000000002,
BENIN,Travel,,,US$ Millions,77.0,85.0,93.0,106.0,118.0,103.0,116.0,206.0,236.0,131.0,149.0,180.0,170.0,189.0,151.0,141.0,123.0,150.0,162.0,240.0,200.0,243.8,
BENIN,Passenger transport,,,US$ Millions,0.4,0.5,1.5,1.9,2.9,4.7,5.6,0.3,0.4,0.4,0.4,21.0,4.0,4.0,2.0,7.0,6.0,10.0,13.0,0.86,2.6,2.8,
BERMUDA,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,500.0,448.0,447.0,407.0,370.0,440.0,513.0,583.0,601.0,94.0,142.9,
BERMUDA,Travel,,,US$ Millions,431.0,351.0,378.0,348.0,426.0,429.0,495.0,569.0,431.0,366.0,442.0,493.0,441.0,439.0,401.0,370.0,440.0,513.0,583.0,601.0,94.0,142.9,
BERMUDA,Passenger transport,,,US$ Millions,,,,,,,,,,,,7.0,7.0,8.0,6.0,,,,,,,,
BHUTAN,Tourism expenditure in the country,,,US$ Millions,10.0,9.0,8.0,8.0,13.0,19.0,36.0,47.0,47.0,51.0,64.0,76.0,93.0,116.0,99.0,120.0,139.0,153.0,121.0,120.0,84.0,3.8,0.2
BHUTAN,Travel,,,US$ Millions,,,,,,,23.0,28.0,37.0,42.0,40.0,47.0,61.0,83.0,84.0,94.0,92.0,105.0,103.0,120.0,84.0,3.8,0.2
BHUTAN,Passenger transport,,,US$ Millions,,,,,,,13.0,19.0,10.0,9.0,24.0,29.0,32.0,33.0,15.0,26.0,47.0,48.0,18.0,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Tourism expenditure in the country,,,US$ Millions,101.0,119.0,143.0,243.0,283.0,345.0,330.0,326.0,302.0,306.0,339.0,499.0,631.0,639.0,746.0,810.0,827.0,928.0,947.9,977.0,239.9,269.0,706.0
"BOLIVIA, PLURINATIONAL STATE OF",Travel,,,US$ Millions,68.0,76.0,100.0,166.0,192.0,239.0,244.0,292.0,275.0,279.0,310.0,380.0,594.0,574.0,664.0,699.0,713.0,803.0,815.0,837.3,189.0,190.0,530.0
"BOLIVIA, PLURINATIONAL STATE OF",Passenger transport,,,US$ Millions,33.0,43.0,43.0,77.0,91.0,106.0,86.0,34.0,27.0,27.0,29.0,119.0,37.0,65.0,82.0,111.0,114.0,125.0,132.9,139.7,50.9,79.0,176.0
BONAIRE,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,Travel,,,US$ Millions,59.0,64.0,65.0,84.0,87.0,87.0,91.0,110.0,121.0,107.0,,,,,,,,,,,,,
BONAIRE,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Tourism expenditure in the country,,,US$ Millions,246.0,279.0,307.0,404.0,507.0,557.0,658.0,804.0,913.0,753.0,662.0,722.0,686.0,752.0,755.0,794.0,875.0,984.0,1147.0,1225.0,443.0,1003.0,1464.0
BOSNIA AND HERZEGOVINA,Travel,,,US$ Millions,233.0,265.0,288.0,377.0,481.0,519.0,607.0,724.0,825.0,674.0,589.0,635.0,615.0,685.0,707.0,752.0,830.0,930.0,1096.0,1173.0,431.0,967.0,1414.0
BOSNIA AND HERZEGOVINA,Passenger transport,,,US$ Millions,13.0,14.0,19.0,27.0,26.0,38.0,51.0,80.0,88.0,79.0,73.0,87.0,71.0,67.0,48.0,42.0,45.0,54.0,51.0,52.0,12.0,36.0,50.0
BOTSWANA,Tourism expenditure in the country,,,US$ Millions,227.0,235.0,324.0,459.0,582.0,563.0,540.0,548.3,510.7,663.6,440.1,468.3,461.3,484.2,529.3,534.3,505.0,542.01,584.2,712.4,116.89999999999999,275.29999999999995,373.59999999999997
BOTSWANA,Travel,,,US$ Millions,222.0,230.0,319.0,457.0,581.0,562.0,538.0,546.0,510.0,663.0,438.0,465.0,459.0,481.0,528.0,533.0,503.0,542.0,582.0,705.0,114.6,274.4,369.7
BOTSWANA,Passenger transport,,,US$ Millions,5.0,5.0,5.0,2.0,1.0,1.0,2.0,2.3,0.7,0.6,2.1,3.3,2.3,3.2,1.3,1.3,2.0,0.01,2.2,7.4,2.3,0.9,3.9
BRAZIL,Tourism expenditure in the country,,,US$ Millions,1969.0,1844.0,2142.0,2673.0,3389.0,4168.0,4577.0,5284.0,6109.0,5635.0,5522.0,6370.0,6623.0,6784.0,7405.0,6254.0,6613.0,6175.0,6324.0,6127.0,3099.0,3005.0,4967.8
BRAZIL,Travel,,,US$ Millions,1810.0,1731.0,1998.0,2479.0,3222.0,3861.0,4316.0,4953.0,5785.0,5305.0,5261.0,6095.0,6378.0,6474.0,6843.0,5844.0,6024.0,5809.0,5921.0,5995.0,3044.0,2947.0,4952.3
BRAZIL,Passenger transport,,,US$ Millions,159.0,113.0,144.0,194.0,167.0,307.0,261.0,331.0,324.0,330.0,261.0,275.0,245.0,310.0,562.0,410.0,589.0,366.0,403.0,132.0,55.0,58.0,15.5
BRITISH VIRGIN ISLANDS,Tourism expenditure in the country,,,US$ Millions,345.0,401.0,345.0,342.0,393.0,412.0,438.0,451.0,446.0,374.0,389.0,388.0,398.0,421.0,459.0,484.0,,,,,,,
BRITISH VIRGIN ISLANDS,Travel,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Tourism expenditure in the country,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,30.0,118.3
BRUNEI DARUSSALAM,Travel,,,US$ Millions,,155.0,113.0,124.0,181.0,191.0,224.0,233.0,242.0,254.0,,,92.0,96.0,79.0,147.0,144.0,177.0,190.0,217.0,38.0,2.0,13.8
BRUNEI DARUSSALAM,Passenger transport,,,US$ Millions,,,,,,,,,,,,,,,,,,,,,,28.0,104.5
BULGARIA,Tourism expenditure in the country,,,US$ Millions,1364.0,1262.0,1392.0,2051.0,2796.0,3063.0,3317.0,4181.0,4852.0,4273.0,3807.0,4297.0,3975.0,4410.0,4518.0,3568.0,4148.0,4663.0,5061.0,4832.0,1861.3999999999999,2734.1499999999996,3701.3999999999996
