Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BOLIVIA, PLURINATIONAL STATE OF",hotel_guests,,Thousands,381.0,379.0,380.0,367.0,391.0,413.0,512.0,487.0,491.0,500.0,527.0,560.0,564.0,572.0,588.0,582.0,584.0,604.0,608.0,566.0,132.0,90.0,209.0
"BOLIVIA, PLURINATIONAL STATE OF",hotel_overnights,,Thousands,991.0,960.0,969.0,1006.0,1030.0,1099.0,881.0,832.0,848.0,850.0,865.0,896.0,856.0,886.0,896.0,899.0,870.0,911.0,876.0,860.0,179.0,125.0,
BONAIRE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,Overnights,,Thousands,481.0,484.0,486.0,574.0,578.0,566.0,621.0,732.0,694.0,670.0,,,,,,,,,,,,,
BONAIRE,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,hotel_overnights,,Thousands,378.0,374.0,340.0,415.0,419.0,428.0,435.0,496.0,501.0,461.0,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Guests,,Thousands,171.0,139.0,160.0,165.0,190.0,217.0,256.0,306.0,322.0,311.0,365.0,392.0,439.0,529.0,536.0,678.0,778.0,923.0,1053.0,1198.0,197.0,502.0,915.0
BOSNIA AND HERZEGOVINA,Overnights,,Thousands,389.0,330.0,392.0,419.0,460.0,485.0,594.0,695.0,719.0,671.0,773.0,836.0,931.0,1109.0,1088.0,1426.0,1647.0,1914.0,2165.0,2421.0,489.0,1201.0,2003.0
BOSNIA AND HERZEGOVINA,hotel_guests,,Thousands,,,,,,,,295.0,311.0,299.0,355.0,380.0,418.0,509.0,511.0,640.0,731.0,870.0,994.0,1139.0,189.0,485.0,882.0
BOSNIA AND HERZEGOVINA,hotel_overnights,,Thousands,,,,,,,,672.0,697.0,646.0,743.0,807.0,884.0,1063.0,1031.0,1341.0,1536.0,1786.0,2026.0,2283.0,469.0,1157.0,1917.0
BOTSWANA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,hotel_guests,,Thousands,,84.0,100.0,211.0,232.0,271.0,,,,,,446.0,,494.0,,,,,,,,,
BOTSWANA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,hotel_overnights,,Thousands,46650.0,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,Guests,,Thousands,272.0,296.0,282.0,278.0,304.0,337.0,356.0,358.0,346.0,309.0,330.0,338.0,351.0,366.0,386.0,393.0,408.0,335.0,192.0,302.0,83.0,56.0,173.0
BRITISH VIRGIN ISLANDS,Overnights,,Thousands,117.0,106.0,105.0,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,hotel_guests,,Thousands,74.0,74.0,58.0,60.0,85.0,103.0,108.0,109.0,105.0,125.0,134.0,137.0,142.0,148.0,156.0,159.0,,,,,,,
BRITISH VIRGIN ISLANDS,hotel_overnights,,Thousands,95.0,86.0,80.0,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,hotel_guests,,Thousands,37.0,118.0,141.0,151.0,197.0,300.0,,109.0,,,,,,,,,,,,,,,
BRUNEI DARUSSALAM,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BULGARIA,Guests,,Thousands,,,,1398.0,1695.0,1936.0,2054.0,2232.0,2226.0,1944.0,2084.0,2423.0,2632.0,2821.0,2792.0,2864.0,3387.0,3656.0,3910.0,4067.0,1176.0,1893.0,3070.0
BULGARIA,Overnights,,Thousands,5170.0,6190.0,7055.0,9142.0,10304.0,11624.0,11960.0,12022.0,11802.0,9461.0,10565.0,12461.0,13451.0,14370.0,14078.0,13352.0,16151.0,17106.0,17749.0,17480.0,4656.0,7994.0,12887.0
BULGARIA,hotel_guests,,Thousands,741.0,864.0,1030.0,1376.0,1668.0,1909.0,2023.0,2206.0,2205.0,1931.0,2064.0,2387.0,2579.0,2754.0,2733.0,2806.0,3319.0,3571.0,3808.0,3959.0,1142.5,1845.0,2984.0
BULGARIA,hotel_overnights,,Thousands,5101.0,6118.0,6985.0,8987.0,10139.0,11471.0,11776.0,11868.0,11641.0,9378.0,10455.0,12287.0,13152.0,13988.0,13764.0,13096.0,15865.0,16733.0,17327.0,17032.0,4527.0,7818.0,12557.0
BURKINA FASO,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURKINA FASO,hotel_guests,,Thousands,126.0,128.0,150.0,163.0,222.0,245.0,264.0,289.0,272.0,269.0,274.0,238.0,237.0,218.0,191.0,163.0,152.0,143.0,144.0,143.0,67.0,106.0,116.0
BURKINA FASO,hotel_overnights,,Thousands,394.0,442.0,527.0,554.0,632.0,789.0,794.0,926.0,814.0,793.0,815.0,708.0,710.0,697.0,544.0,481.0,477.0,447.0,454.0,516.0,200.0,335.0,363.0
BURUNDI,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BURUNDI,hotel_overnights,,Thousands,93.0,115.0,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CABO VERDE,hotel_guests,,Thousands,115.0,134.0,126.0,150.0,157.0,198.0,242.0,267.0,285.0,287.0,336.0,428.0,482.0,503.0,494.0,520.0,598.0,668.0,710.0,758.0,180.0,135.0,785.0
CABO VERDE,hotel_overnights,,Thousands,602.0,725.0,624.0,820.0,787.0,850.0,1261.0,1308.0,1712.0,1898.0,2218.0,2704.0,3185.0,3280.0,3284.0,3573.0,3964.0,4459.0,4760.0,4922.0,1074.0,750.0,3944.0
CAMBODIA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
CAMBODIA,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
