Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRAZIL,Overnights visitors (tourists),Thousands,5313.0,4773.0,3785.0,4133.0,4794.0,5358.0,5017.0,5026.0,5050.0,4802.0,5161.0,5433.0,5677.0,5813.0,6430.0,6306.0,6547.0,6589.0,6621.0,6353.0,2146.0,746.0,3630.0
BRAZIL,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,"of which, cruise passengers",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRITISH VIRGIN ISLANDS,Total arrivals,Thousands,519.0,535.0,544.0,614.0,813.0,821.0,825.0,948.0,934.0,857.0,842.0,831.0,753.0,742.0,773.0,922.0,1124.0,,,895.0,,,
BRITISH VIRGIN ISLANDS,Overnights visitors (tourists),Thousands,272.0,296.0,282.0,278.0,304.0,337.0,356.0,358.0,346.0,309.0,330.0,338.0,351.0,366.0,386.0,393.0,408.0,335.0,192.0,302.4,83.0,56.0,173.0
BRITISH VIRGIN ISLANDS,Same-day visitors (excursionists),Thousands,247.0,239.0,262.0,336.0,509.0,483.0,469.0,590.0,588.0,548.0,512.0,493.0,402.0,375.7,386.5,529.0,717.0,,,592.5,,,
BRITISH VIRGIN ISLANDS,"of which, cruise passengers",Thousands,197.0,202.0,230.0,304.0,467.0,449.0,444.0,575.0,572.0,530.0,501.0,485.0,391.0,367.0,361.0,516.0,699.0,410.0,201.0,575.1,219.0,70.0,344.0
BRUNEI DARUSSALAM,Total arrivals,Thousands,984.0,840.0,891.0,944.0,,815.0,836.0,877.0,,,,,,,,,4257.0,4316.0,4521.0,4449.0,1071.0,110.0,
BRUNEI DARUSSALAM,Overnights visitors (tourists),Thousands,,,,,119.0,126.0,158.0,179.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,219.0,259.0,278.0,333.0,62.3,3.5,
BRUNEI DARUSSALAM,Same-day visitors (excursionists),Thousands,,,,,,,,,,,,,,,,,25.0,11.0,19.0,15.0,1.5,,
