Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BHUTAN,Air,,Thousands,7.6,6.4,4.1,5.1,6.6,11.7,14.0,16.0,23.0,19.0,35.0,57.0,59.5,60.8,65.9,86.0,103.5,126.9,142.4,142.9,11.2,0.001,10.9
BHUTAN,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BHUTAN,Land,,Thousands,,,1.5,1.1,2.6,1.9,3.3,5.0,5.0,4.0,6.0,9.0,45.9,55.5,67.5,69.0,106.0,127.8,131.7,172.7,18.6,,10.0
"BOLIVIA, PLURINATIONAL STATE OF",Total,,Thousands,319.0,316.0,334.0,428.0,480.0,524.0,521.0,573.0,529.5999999999999,599.3,678.6,711.3,797.9,798.3,870.5,881.6,960.8,1108.6,1141.9,1239.3,323.2,179.9,724.0999999999999
"BOLIVIA, PLURINATIONAL STATE OF",Air,,Thousands,233.0,208.0,199.0,222.0,240.0,267.0,242.0,247.0,203.7,226.2,238.8,286.7,291.5,330.7,375.4,410.3,397.9,417.6,415.0,383.0,107.5,127.2,264.2
"BOLIVIA, PLURINATIONAL STATE OF",Water,,Thousands,6.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
"BOLIVIA, PLURINATIONAL STATE OF",Land,,Thousands,80.0,104.0,133.0,204.0,237.0,256.0,278.0,325.0,325.9,373.1,439.8,424.6,506.4,467.6,495.1,471.3,562.9,691.0,726.9,856.3,215.7,52.7,459.9
BONAIRE,Total,,Thousands,95.0,93.0,94.0,107.0,116.0,103.0,126.0,172.0,250.0,280.0,297.0,,,,,,,,,,,,
BONAIRE,Air,,Thousands,51.0,50.0,52.0,62.0,63.0,63.0,64.0,74.0,74.0,67.0,71.0,,,,,,,,,,,,
BONAIRE,Water,,Thousands,44.0,43.0,42.0,45.0,53.0,40.0,62.0,98.0,176.0,213.0,226.0,,,,,,,,,,,,
BONAIRE,Land,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Total,,Thousands,,,,,,,,,,,,,13432.0,12972.0,12731.0,13120.0,15057.0,16133.0,16919.0,15208.0,7387.0,9772.0,13839.8
BOSNIA AND HERZEGOVINA,Air,,Thousands,,,,,,,,,,,,,262.0,290.0,334.0,395.0,432.0,535.0,562.0,570.0,113.0,360.0,658.3
BOSNIA AND HERZEGOVINA,Water,,Thousands,,,,,,,,,,,,,18.0,14.0,3.0,3.0,3.0,5.0,7.0,8.0,7.0,11.0,10.7
BOSNIA AND HERZEGOVINA,Land,,Thousands,,,,,,,,,,,,,13152.0,12668.0,12394.0,12722.0,14622.0,15593.0,16350.0,14630.0,7267.0,9401.0,13170.8
BOTSWANA,Total,,Thousands,,1188.0,1274.0,1406.0,1523.0,,1426.0,1736.0,2101.0,,,,,,2083.0,1660.2,1712.1,1774.9,1830.2,1555.4,358.2,337.6,
BOTSWANA,Air,,Thousands,,77.0,95.0,71.0,66.0,,68.0,83.0,85.0,,,,,,130.0,128.7,119.5,119.4,129.3,120.4,14.8,36.6,
BOTSWANA,Water,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,Land,,Thousands,,1111.0,1179.0,1335.0,1457.0,,1358.0,1653.0,2016.0,,,,,,1953.0,1531.5,1592.6,1655.5,1700.9,1435.0,343.4,301.0,
