Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BOLIVIA, PLURINATIONAL STATE OF",hotel_overnights,,Thousands,1293.0,1263.0,1322.0,1404.0,1523.0,1644.0,998.0,981.0,1005.0,1050.0,1032.0,1010.0,1000.0,1037.0,1060.0,1057.0,973.0,986.0,944.0,921.0,341.0,587.0,
BONAIRE,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BONAIRE,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Guests,,Thousands,,,,,,,,277.0,289.0,262.0,291.0,294.0,309.0,316.0,310.0,351.0,372.0,384.0,413.0,443.0,304.0,469.0,562.0
BOSNIA AND HERZEGOVINA,Overnights,,Thousands,560.0,452.0,496.0,494.0,511.0,533.0,583.0,642.0,678.0,597.0,644.0,668.0,714.0,714.0,623.0,717.0,736.0,764.0,875.0,954.0,753.0,1057.0,1219.0
BOSNIA AND HERZEGOVINA,hotel_guests,,Thousands,,,,,,,,265.0,275.0,246.0,261.0,262.0,274.0,297.0,293.0,329.0,346.0,357.0,375.0,412.0,288.0,444.0,534.0
BOSNIA AND HERZEGOVINA,hotel_overnights,,Thousands,,,,,,,,598.0,625.0,539.0,507.0,509.0,540.0,614.0,567.0,657.0,664.0,684.0,743.0,832.0,682.0,943.0,1101.0
BOTSWANA,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BOTSWANA,hotel_guests,,Thousands,,74.0,149.0,119.0,89.0,145.0,,,,,,481.0,,503.0,,,,,,,,,
BOTSWANA,hotel_overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,Guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,Overnights,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,hotel_guests,,Thousands,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,hotel_overnights,,Thousands,186705.0,,,,,,,,,,,,,,,,,,,,,,
