Country,Indicators,,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BELIZE,Business and professional,,Thousands,9.0,10.0,13.0,13.0,12.0,12.0,12.0,13.0,10.0,10.0,11.0,12.0,13.0,13.0,17.0,15.0,14.2,17.0,11.4,13.2,9.0,15.6,
BENIN,Total,,Thousands,96.0,,,,,,,185.0,188.0,190.0,199.0,209.0,220.0,231.0,242.39999999999998,254.5,267.3,280.7,294.70000000000005,309.4,324.9,,
BENIN,Personal,,Thousands,19.0,,,,,,,88.0,103.0,82.0,103.0,115.0,121.0,117.0,118.39999999999999,118.3,127.30000000000001,135.1,134.4,138.20000000000002,171.3,,
BENIN,Business and professional,,Thousands,77.0,,,,,,,97.0,85.0,108.0,96.0,94.0,99.0,114.0,124.0,136.2,140.0,145.6,160.3,171.2,153.6,,
BERMUDA,Total,,Thousands,332.0,278.0,283.0,257.0,271.0,270.0,299.0,306.0,264.0,235.0,232.0,236.0,232.0,236.0,224.4,219.9,244.39999999999998,269.5,281.8,269.5,42.1,72.1,145.9
BERMUDA,Personal,,Thousands,284.0,244.0,244.0,206.0,216.0,211.0,242.0,238.0,203.0,185.0,184.0,184.0,187.0,187.0,177.8,174.8,200.39999999999998,221.4,235.2,222.20000000000002,32.7,66.0,122.9
BERMUDA,Business and professional,,Thousands,48.0,34.0,39.0,51.0,55.0,59.0,57.0,68.0,61.0,50.0,48.0,52.0,45.0,49.0,46.6,45.1,44.0,48.1,46.6,47.3,9.4,6.1,23.0
BHUTAN,Total,,Thousands,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21.0,28.0,24.0,41.0,66.0,105.0,116.0,133.45000000000002,155.1,209.6,254.6,274.09999999999997,315.59999999999997,29.8,0.001,
BHUTAN,Personal,,Thousands,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21.0,26.0,22.0,37.0,43.0,85.0,98.0,117.65,140.0,192.1,237.7,258.9,298.2,27.5,0.001,
BHUTAN,Business and professional,,Thousands,,,,,,,,,2.0,2.0,4.0,23.0,20.0,18.0,15.8,15.1,17.5,16.9,15.2,17.4,2.3,,
"BOLIVIA, PLURINATIONAL STATE OF",Total,,Thousands,305.0,316.0,334.0,428.0,480.0,524.0,521.0,573.0,529.6,599.0,679.0,711.0,798.0,798.0,870.6,881.6000000000001,960.8999999999999,1108.5,1141.9,1239.3,323.20000000000005,179.9,724.0
"BOLIVIA, PLURINATIONAL STATE OF",Personal,,Thousands,262.0,260.0,275.0,378.0,431.0,490.0,488.0,536.0,498.6,549.0,623.0,652.0,732.0,732.0,783.5,774.9000000000001,844.5999999999999,974.4,1003.7,1089.3,284.1,158.1,549.2
"BOLIVIA, PLURINATIONAL STATE OF",Business and professional,,Thousands,43.0,56.0,59.0,50.0,49.0,34.0,33.0,37.0,31.0,50.0,56.0,59.0,66.0,66.0,87.1,106.7,116.3,134.1,138.2,150.0,39.1,21.8,174.8
BONAIRE,Total,,Thousands,51.0,50.0,51.0,65.0,62.0,,,,,,,,,,,,,,,,,,
BONAIRE,Personal,,Thousands,47.0,46.0,50.0,63.0,61.0,,,,,,,,,,,,,,,,,,
BONAIRE,Business and professional,,Thousands,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
BOSNIA AND HERZEGOVINA,Total,,Thousands,,,,,,,,,,,,,,529.0,536.0,678.0,778.0,923.0,1053.0,1198.0,196.0,501.9,915.0999999999999
BOSNIA AND HERZEGOVINA,Personal,,Thousands,,,,,,,,,,,,,,316.0,364.0,523.0,608.0,736.0,831.0,962.0,151.0,411.2,770.9
BOSNIA AND HERZEGOVINA,Business and professional,,Thousands,,,,,,,,,,,,,,213.0,172.0,155.0,170.0,187.0,222.0,236.0,45.0,90.7,144.2
